구분,2023년 재해자수,2023년 사망자수
서 울 청,3071 ,43
서울강남,2065 ,26
서울동부,3948 ,34
서울서부,2169 ,18
서울남부,2633 ,28
서울북부,2123 ,28
서울관악,2286 ,22
중 부 청,4387 ,50
인천북부,3573 ,38
부    천,2969 ,38
의 정 부,5087 ,96
고    양,3707 ,38
경    기,7984 ,80
성    남,5533 ,74
안    양,2636 ,25
안    산,3939 ,41
평    택,3390 ,46
강    원,1448 ,14
강    릉,1524 ,48
원    주,1182 ,15
태    백,1796 ,164
영    월,1224 ,97
부 산 청,3450 ,49
부산동부,2145 ,22
부산북부,2164 ,34
창    원,3383 ,51
울    산,5355 ,62
양    산,3367 ,42
진    주,1476 ,15
통    영,2285 ,16
대 구 청,3773 ,26
대구서부,3466 ,36
포    항,2751 ,59
구    미,1104 ,11
영    주,935 ,60
안    동,618 ,10
광 주 청,4894 ,76
전    주,2488 ,31
익    산,1083 ,23
군    산,1115 ,16
목    포,1734 ,21
여    수,2034 ,30
제    주,1530 ,9
대 전 청,5723 ,47
청    주,3379 ,41
천    안,4052 ,55
충    주,1929 ,28
보    령,1228 ,74
서    산,661 ,9
