시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,종로구,일반,남자,65세미만,35,1,2,7,5,1,0,4,5,3
서울,종로구,일반,남자,65-69세,54,4,0,12,11,1,1,9,1,4
서울,종로구,일반,남자,70-74세,73,7,7,13,14,2,1,7,0,0
서울,종로구,일반,남자,75-79세,102,4,6,26,31,3,1,2,4,4
서울,종로구,일반,남자,80-84세,168,10,12,31,54,9,5,15,1,1
서울,종로구,일반,남자,85세이상,281,19,35,66,89,10,6,13,3,3
서울,종로구,일반,여자,65세미만,33,0,5,7,1,2,0,3,2,3
서울,종로구,일반,여자,65-69세,68,3,7,12,10,1,0,9,2,0
서울,종로구,일반,여자,70-74세,101,6,3,25,17,4,2,9,2,0
서울,종로구,일반,여자,75-79세,206,4,11,29,56,20,2,20,6,1
서울,종로구,일반,여자,80-84세,415,18,19,87,126,39,7,29,11,4
서울,종로구,일반,여자,85세이상,632,57,81,184,188,43,4,11,11,1
서울,종로구,기초,남자,65세미만,23,0,0,6,9,0,0,1,1,0
서울,종로구,기초,남자,65-69세,40,2,0,6,11,3,1,2,2,1
서울,종로구,기초,남자,70-74세,26,1,0,5,8,0,1,4,3,1
서울,종로구,기초,남자,75-79세,19,1,0,2,6,2,0,2,1,1
서울,종로구,기초,남자,80-84세,20,0,1,1,8,4,0,1,2,1
서울,종로구,기초,남자,85세이상,15,0,2,1,4,2,1,1,1,1
서울,종로구,기초,여자,65세미만,7,0,1,1,2,0,1,0,1,0
서울,종로구,기초,여자,65-69세,13,0,1,3,2,0,0,1,2,0
서울,종로구,기초,여자,70-74세,22,3,1,1,8,1,0,1,2,0
서울,종로구,기초,여자,75-79세,33,0,1,5,13,1,1,2,2,0
서울,종로구,기초,여자,80-84세,55,2,3,7,23,4,1,5,1,1
서울,종로구,기초,여자,85세이상,79,8,13,19,25,7,0,3,2,1
서울,종로구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,85세이상,1,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,65-69세,2,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,70-74세,1,0,0,0,1,0,0,0,0,0
서울,종로구,의료,여자,75-79세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,80-84세,1,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,85세이상,7,0,2,2,1,0,0,0,0,0
서울,종로구,감경,남자,65세미만,12,0,1,6,1,3,0,0,0,0
서울,종로구,감경,남자,65-69세,16,0,2,2,11,0,1,0,0,0
서울,종로구,감경,남자,70-74세,23,0,1,8,10,2,2,0,0,0
서울,종로구,감경,남자,75-79세,32,2,7,5,13,3,0,0,0,0
서울,종로구,감경,남자,80-84세,46,2,4,16,13,4,2,0,0,0
서울,종로구,감경,남자,85세이상,58,2,6,21,19,6,0,0,1,0
서울,종로구,감경,여자,65세미만,9,2,0,3,2,1,0,0,1,0
서울,종로구,감경,여자,65-69세,20,1,0,9,5,1,1,1,0,0
서울,종로구,감경,여자,70-74세,38,2,3,8,16,3,1,0,0,0
서울,종로구,감경,여자,75-79세,69,3,7,21,22,8,1,0,0,0
서울,종로구,감경,여자,80-84세,150,10,20,37,57,9,3,1,0,0
서울,종로구,감경,여자,85세이상,276,24,35,102,93,13,3,0,0,0
서울,중구,일반,남자,65세미만,22,1,0,2,0,0,0,5,4,4
서울,중구,일반,남자,65-69세,52,3,0,8,6,2,2,6,5,5
서울,중구,일반,남자,70-74세,59,1,1,10,7,6,3,9,3,1
서울,중구,일반,남자,75-79세,91,2,5,14,20,4,12,9,3,2
서울,중구,일반,남자,80-84세,153,3,8,19,52,11,7,7,9,9
서울,중구,일반,남자,85세이상,185,2,10,39,61,18,6,10,2,10
서울,중구,일반,여자,65세미만,20,1,0,2,2,1,0,2,2,6
서울,중구,일반,여자,65-69세,47,2,1,3,4,0,1,8,4,3
서울,중구,일반,여자,70-74세,82,1,1,6,14,5,3,11,7,3
서울,중구,일반,여자,75-79세,169,6,4,16,32,13,9,14,6,9
서울,중구,일반,여자,80-84세,274,3,16,42,92,27,10,20,8,5
서울,중구,일반,여자,85세이상,468,19,32,115,145,39,11,20,15,10
서울,중구,기초,남자,65세미만,21,1,1,5,3,0,2,2,4,2
서울,중구,기초,남자,65-69세,32,2,0,2,8,0,0,3,3,3
서울,중구,기초,남자,70-74세,24,0,0,3,5,2,3,3,0,3
서울,중구,기초,남자,75-79세,26,0,1,4,3,3,3,4,2,1
서울,중구,기초,남자,80-84세,30,1,2,5,6,2,2,1,1,1
서울,중구,기초,남자,85세이상,15,0,1,0,6,0,2,0,0,1
서울,중구,기초,여자,65세미만,4,0,0,0,1,1,0,0,0,0
서울,중구,기초,여자,65-69세,26,0,0,2,6,0,0,5,4,3
서울,중구,기초,여자,70-74세,36,1,1,4,11,2,1,2,3,3
서울,중구,기초,여자,75-79세,43,2,0,4,9,6,2,4,4,2
서울,중구,기초,여자,80-84세,75,0,1,8,35,7,5,1,6,3
서울,중구,기초,여자,85세이상,95,2,3,24,36,4,3,3,8,1
서울,중구,의료,남자,70-74세,1,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,75-79세,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,80-84세,1,0,0,0,0,1,0,0,0,0
서울,중구,의료,남자,85세이상,3,0,0,1,1,0,0,0,0,0
서울,중구,의료,여자,70-74세,1,0,0,0,0,0,0,1,0,0
서울,중구,의료,여자,75-79세,1,0,0,0,1,0,0,0,0,0
서울,중구,의료,여자,80-84세,2,0,0,1,1,0,0,0,0,0
서울,중구,의료,여자,85세이상,8,1,0,2,0,2,0,1,0,1
서울,중구,감경,남자,65세미만,7,1,0,0,3,0,1,0,0,0
서울,중구,감경,남자,65-69세,18,3,0,3,6,1,1,1,0,0
서울,중구,감경,남자,70-74세,23,0,1,9,9,1,0,0,1,0
서울,중구,감경,남자,75-79세,34,1,1,8,13,3,3,1,0,0
서울,중구,감경,남자,80-84세,42,0,1,14,18,5,4,0,0,0
서울,중구,감경,남자,85세이상,40,2,1,12,17,6,0,0,0,0
서울,중구,감경,여자,65세미만,6,2,0,0,2,0,1,0,0,0
서울,중구,감경,여자,65-69세,14,2,1,4,4,2,0,1,0,0
서울,중구,감경,여자,70-74세,21,2,0,5,5,1,2,2,0,0
서울,중구,감경,여자,75-79세,42,4,0,7,9,3,7,2,1,1
서울,중구,감경,여자,80-84세,110,4,5,32,40,16,4,1,1,0
서울,중구,감경,여자,85세이상,201,12,20,47,83,20,9,4,0,0
서울,용산구,일반,남자,65세미만,29,0,1,7,2,1,0,7,3,1
서울,용산구,일반,남자,65-69세,59,2,2,12,16,2,2,6,3,0
서울,용산구,일반,남자,70-74세,75,1,4,20,24,3,1,5,2,1
서울,용산구,일반,남자,75-79세,141,7,11,24,37,13,2,7,3,3
서울,용산구,일반,남자,80-84세,196,8,11,48,59,10,4,2,8,4
서울,용산구,일반,남자,85세이상,314,11,24,92,100,22,7,14,3,5
서울,용산구,일반,여자,65세미만,30,1,1,9,7,0,0,4,1,2
서울,용산구,일반,여자,65-69세,57,3,1,6,17,0,0,7,2,0
서울,용산구,일반,여자,70-74세,122,3,5,25,20,3,3,13,6,5
서울,용산구,일반,여자,75-79세,233,5,10,32,56,21,5,17,6,4
서울,용산구,일반,여자,80-84세,482,15,28,96,161,34,12,28,14,5
서울,용산구,일반,여자,85세이상,844,42,104,255,256,60,11,23,9,2
서울,용산구,기초,남자,65세미만,24,0,0,3,6,2,0,3,0,3
서울,용산구,기초,남자,65-69세,44,1,0,5,7,2,0,5,3,3
서울,용산구,기초,남자,70-74세,36,0,0,10,13,4,0,2,2,0
서울,용산구,기초,남자,75-79세,22,0,1,3,5,5,0,1,0,0
서울,용산구,기초,남자,80-84세,24,0,1,6,6,1,0,1,1,0
서울,용산구,기초,남자,85세이상,29,1,2,9,7,2,0,1,1,1
서울,용산구,기초,여자,65세미만,11,2,1,0,3,0,1,0,0,1
서울,용산구,기초,여자,65-69세,38,0,3,4,7,1,0,6,2,1
서울,용산구,기초,여자,70-74세,43,0,0,8,13,0,1,2,4,1
서울,용산구,기초,여자,75-79세,44,0,3,5,14,6,2,2,2,1
서울,용산구,기초,여자,80-84세,73,1,3,16,27,6,1,4,5,1
서울,용산구,기초,여자,85세이상,128,2,9,38,48,4,0,6,3,4
